City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,sao miguel do guama,-1.6267,-47.4833,302.25,15,15,2.05,BR,1688920456
473,sebastopol,44.6,33.5333,295.93,99,99,1.34,UA,1688920456
474,posse,-14.0931,-46.3694,304.61,0,0,1.49,BR,1688920456
475,quartu sant'elena,39.2419,9.1839,302.07,0,0,4.12,IT,1688920457
476,undurkhaan,47.3194,110.6556,291.45,80,80,2.66,MN,1688920457
477,argo,37.6333,22.7333,303.59,0,0,2.66,GR,1688920457
478,crane,31.3974,-102.3501,307.7,32,32,3.49,US,1688920457
479,tual,-5.6667,132.75,299.59,95,95,9.72,ID,1688920458
480,itoman,26.1247,127.6694,301.36,18,18,3.6,JP,1688920458
481,mandasa,18.8667,84.4667,302.81,98,98,1.41,IN,1688920458
482,the pas,53.8251,-101.2541,288.16,0,0,3.6,CA,1688920458
483,tuy hoa,13.0833,109.3,297.47,42,42,2.23,VN,1688920459
484,rawalpindi,33.6007,73.0679,301.06,4,4,0.89,PK,1688920458
485,fauske,67.2588,15.3918,285.9,72,72,2.12,NO,1688920459
486,oyama,36.3,139.8,302.92,85,85,2.1,JP,1688920439
487,belmonte,-15.8631,-38.8828,300.09,19,19,3.71,BR,1688920460
488,markovo,57.3206,107.0881,289.47,86,86,1.2,RU,1688920460
489,al qusayr,34.5091,36.5798,299.11,0,0,5.98,SY,1688920465
490,ariano irpino-martiri,41.1489,15.0833,303.4,0,0,1.54,IT,1688920465
491,lockwood,45.8191,-108.4149,298.5,20,20,4.63,US,1688920466
492,torquay,50.4638,-3.5143,294.93,18,18,5.36,GB,1688920319
493,ulsteinvik,62.3432,5.8487,296.43,100,100,1.34,NO,1688920466
494,nyakahanga,-1.6033,31.1414,291.47,97,97,1.73,TZ,1688920467
495,ulaangom,49.9811,92.0667,293.3,100,100,2.36,MN,1688920467
496,dzuunharaa,48.8523,106.4579,288.82,57,57,1.32,MN,1688920467
497,la ronge,55.1001,-105.2842,289.27,40,40,2.57,CA,1688920467
498,san bernardo del viento,9.3533,-75.9524,303.31,98,98,1.5,CO,1688920467
499,cockburn town,21.4612,-71.1419,301.46,53,53,7.47,TC,1688920468
500,zheleznogorsk-ilimskiy,56.5768,104.1217,290.06,100,100,1.79,RU,1688920468
501,katsuren-haebaru,26.3369,127.8719,301.36,20,20,1.54,JP,1688920468
502,juan griego,11.0817,-63.9655,303.22,36,36,6.17,VE,1688920468
503,belfast,54.5833,-5.9333,293.05,20,20,8.23,GB,1688920469
504,glendive,47.1053,-104.7125,302.46,0,0,3.6,US,1688920469
505,georgiyevka,43.0369,74.7114,295.17,40,40,3.0,KZ,1688920469
506,chandler,33.3062,-111.8412,311.57,0,0,3.09,US,1688920255
507,conceicao do araguaia,-8.2578,-49.2647,310.25,0,0,1.47,BR,1688920470
508,macomer,40.262,8.7699,298.89,8,8,2.46,IT,1688920470
509,la'ie,21.6477,-157.9253,299.13,71,71,5.36,US,1688920470
510,tazacorte,28.629,-17.9293,298.69,20,20,5.14,ES,1688920471
511,lodja,-3.4833,23.4333,300.19,11,11,0.9,CD,1688920471
512,el granada,37.5027,-122.4694,291.17,75,75,6.17,US,1688920471
513,luis correia,-2.8792,-41.6669,306.15,40,40,6.97,BR,1688920471
514,debesy,57.6529,53.8049,291.1,100,100,0.95,RU,1688920472
